attach,http://207.180.202.219:14265 score: 43.92526892506132 scoreNorm: 0.1814363354499281
-1,-1,0
-1,-1,1
-1,-1,3
-1,-1,2
1570338627257,1570338806490,1570338812618,4
-1,-1,5
-1,-1,6
-1,-1,8
-1,-1,7
-1,-1,9
-1,-1,10
-1,-1,11
-1,-1,12
-1,-1,13
1570339643532,1570339804377,1570339818547,14
-1,-1,15
-1,-1,16
-1,-1,17
-1,-1,20
-1,-1,19
1570339888877,1570340099142,1570340122552,18
-1,-1,21
-1,-1,22
-1,-1,24
-1,-1,23
-1,-1,25
-1,-1,26
-1,-1,27
1570340484739,1570340603725,1570340652423,28
-1,-1,29
-1,-1,30
-1,-1,31
-1,-1,32
-1,-1,33
-1,-1,34
-1,-1,35
-1,-1,37
-1,-1,36
-1,-1,38
-1,-1,39
-1,-1,40
-1,-1,41
-1,-1,42
-1,-1,43
