attach,NOSAEUSTIGBWQESMYXAXIUAREMRNKBYKXMGEFSLZIGHESZTXAGGNMEPTITWWRXTDTAZAMNTQOMBPEEUKZ https://pow.iota.community:443 score: 0.4966481734145758
6649,0
7788,1
36277,2
6500,3
11332,4
2371,5
4969,6
6891,7
8513,8
-1,9
16163,10
62479,11
56816,12
-1,13
124164,14
-1,15
141704,16
-1,17
-1,18
144754,19
-1,20
-1,21
-1,23
-1,22
-1,24
-1,25
-1,27
-1,26
-1,28
-1,29
-1,31
-1,30
-1,32
-1,33
-1,35
-1,34
-1,36
-1,38
-1,37
-1,40
-1,39
-1,41
-1,42
-1,43
