attach,http://node01.iotatoken.nl:14265 score: 28.474301356724332 scoreNorm: 0.22065104072519426
434,67,0
289,66,1
345,73,2
519,67,3
318,72,4
331,64,5
383,71,6
470,70,7
552,71,8
502,63,9
3389,219,10
641,70,11
285,73,12
365,74,13
954,76,14
846,133,15
7272,68,16
759,72,17
228,70,18
209,69,19
602,64,20
356,71,21
313,67,22
397,67,23
269,68,24
336,74,25
647,72,26
434,72,27
636,73,28
417,67,29
384,75,30
509,67,31
2121,64,32
442,146,33
447,64,34
629,67,35
479,73,36
318,79,37
506,70,38
430,66,39
737,1571,40
381,67,41
943,63,42
22075,3203,43
461,72,44
