attach,https://ultranode.iotatoken.nl:443 score: 239.5430903659397 scoreNorm: 1
771,2374,0
8208,15464,1
663,7541,2
8076,5567,3
615,5738,4
8693,52850,5
16990,33421,6
1919,15908,7
454,5102,8
6692,10101,9
1351,3149,10
1115,9310,11
2324,1141,12
827,14798,13
926,3592,14
612,1714,15
824,4847,16
1200,2619,17
513,4831,18
10492,1997,19
409,2083,20
575,1525,21
5921,9328,22
13146,13051,23
409,1860,24
640,5323,25
4269,13095,26
849,13846,27
12827,5709,28
37179,19681,29
4673,6237,30
12752,9500,31
549,2390,32
7276,7402,33
503,12157,34
2121,5119,35
507,7939,36
691,1365,37
1548,2096,38
1720,25064,39
757,2089,40
577,3068,41
1058,6438,42
