attach,https://wallet2.iota.town:443 score: 64.70041077477592 scoreNorm: 0.27009925719809275
104745,77573,0
36451,142895,1
180413,55064,2
54722,395418,3
587431,28526,4
526089,46578,6
465312,94071,7
192785,380801,8
-1,-1,5
-1,-1,15
-1,-1,14
-1,-1,13
-1,-1,12
-1,-1,16
519544,178598,10
-1,-1,9
-1,-1,18
-1,-1,19
-1,-1,20
410327,562605,11
-1,-1,21
-1,-1,22
-1,-1,17
-1,-1,23
89470,173314,29
580097,184883,24
-1,-1,31
519382,251284,25
-1,-1,32
-1,-1,33
-1,-1,30
-1,-1,28
-1,-1,36
-1,-1,35
-1,-1,34
-1,-1,37
457851,420265,26
397504,455977,27
-1,-1,44
-1,-1,43
-1,-1,42
-1,-1,41
-1,-1,40
-1,-1,39
-1,-1,38
