attach,https://wallet2.iota.town:443 score: 64.70041077477592 scoreNorm: 0.27009925719809275
36158,35288,0
77627,20204,1
174678,76058,2
123894,182307,3
15901,459016,4
489932,226473,5
454286,336458,6
236578,23416,9
-1,-1,11
582640,60077,7
-1,-1,12
-1,-1,13
-1,-1,10
579302,115280,8
2107,282157,15
-1,-1,16
-1,-1,17
-1,-1,18
-1,-1,19
-1,-1,20
-1,-1,21
-1,-1,14
536759,199137,22
-1,-1,29
-1,-1,30
-1,-1,28
-1,-1,27
-1,-1,26
500588,281290,23
466286,328101,24
-1,-1,33
-1,-1,32
-1,-1,31
-1,-1,34
-1,-1,35
379192,497122,25
-1,-1,42
-1,-1,41
-1,-1,40
-1,-1,39
-1,-1,38
-1,-1,37
-1,-1,36
-1,-1,43
-1,-1,44
