attach,https://iota1.chain.garden:443 score: 6.372046545318831 scoreNorm: 0.062232435151065336
49559,0
37759,1
24353,2
21217,3
20539,4
17523,5
4852,6
32215,7
38954,8
9038,9
33197,10
26379,11
49548,12
73833,13
93678,14
77158,15
19796,16
41682,17
15776,18
5303,19
11382,20
34558,21
15783,22
32542,23
27001,24
29048,25
13945,26
11459,27
19129,28
18067,29
13731,30
33027,31
12781,32
19803,33
25860,34
13175,35
2649,36
2861,37
17152,38
6929,39
7251,40
19768,41
14434,42
35330,43
10422,44
