attach,https://wallet2.iota.town:443 score: 85.64137027093344 scoreNorm: 0.351602432422092
113928,559981,0
-1,-1,2
83109,580011,1
311204,330836,3
-1,-1,7
240886,430007,4
203805,438495,5
141600,591094,6
429687,180479,8
-1,-1,12
277469,292551,9
182655,372405,10
90928,448733,11
265973,330477,13
199247,356472,14
159480,390890,15
67427,439145,16
252996,264181,18
190516,322853,19
129025,359660,20
67026,388158,21
116541,380484,23
53577,444857,24
22350,447586,25
471730,492985,17
207512,250109,26
-1,-1,29
142655,339765,27
87057,360529,28
473260,542055,22
247312,473384,30
180030,523207,31
84355,534339,32
443669,160292,34
287018,490822,35
197792,494526,36
114845,538833,38
140823,508266,37
283822,230882,40
241877,236818,41
114660,286000,42
560817,441222,33
377171,138129,43
280545,196831,44
558300,227679,39
