id, latitude, longitude, timestamp, executionTime
0, -22.923943, -43.177799, 2020-03-09T09:52:45.119Z, 2024
1, -22.924776, -43.179428, 2020-03-09T09:53:55.124Z, 3110
2, -22.925875, -43.179329, 2020-03-09T09:54:30.134Z, 1290
3, -22.928761, -43.179279, 2020-03-09T09:55:40.158Z, 2790
4, -22.930351, -43.178955, 2020-03-09T09:56:50.165Z, 923
5, -22.930725, -43.179085, 2020-03-09T09:57:25.171Z, 3683
6, -22.931084, -43.179314, 2020-03-09T09:58:34.182Z, 1210
7, -22.931461, -43.179459, 2020-03-09T09:59:45.192Z, 1471
9, -22.932751, -43.183285, 2020-03-09T10:01:30.210Z, 1308
10, -22.93276, -43.183285, 2020-03-09T10:02:04.212Z, 14911
8, -22.932478, -43.182209, 2020-03-09T10:00:55.204Z, 17280
