attach,MZYFGMXEMBEZPGXIEQTCY9XXWXTAPBMJOKFKAPCB9R9T9OMZSUPWGSXCLHUTAUIQWAHFQAOVSMAHRALBM https://iota1.chain.garden:443 score: 0.0984432734238476
-1,0
135594,1
-1,2
-1,4
-1,3
-1,5
-1,6
-1,7
-1,8
-1,9
-1,10
-1,11
-1,13
-1,14
-1,12
-1,15
-1,16
-1,17
-1,18
-1,19
-1,20
-1,22
-1,23
-1,24
-1,21
-1,25
-1,26
-1,27
73302,28
-1,29
-1,30
-1,31
-1,32
-1,33
-1,34
-1,35
-1,36
-1,37
-1,38
-1,39
66541,40
-1,41
-1,42
-1,44
-1,43
