attach,PHMTVQJNWTYBOOVHRYZLVHPF9PHBOJFHHREJLNQXYXWR9MZDAXFRZOPTRGCKCCKXPNRXABZTSDQXSLHST https://nodes.iota.cafe:443 score: 0.21412426504024012
-1,0
6613,1
26640,2
42656,3
52235,4
72943,5
97801,6
185066,7
256831,8
313768,9
305151,10
-1,11
285250,12
270744,13
-1,15
-1,16
293813,14
-1,19
-1,20
-1,21
-1,22
329112,17
358764,18
-1,24
-1,25
278808,23
-1,29
-1,27
-1,33
-1,34
-1,32
-1,31
-1,26
-1,28
-1,35
-1,36
-1,37
-1,38
-1,39
555923,30
-1,40
332080,42
-1,41
