attach,YOUDDMMDFRAOYBHXFDGKAJZHHZKIYIMJRIBZVJFMGVPAOZVQQYJEXKXOGMUGG9MPENVDNXNPMIGS9R99X https://nodes.iota.cafe:443 score: 0.21412426504024012
-1,0
-1,1
-1,2
-1,5
-1,3
-1,6
360718,4
-1,9
-1,10
-1,11
-1,7
-1,14
-1,15
412623,8
-1,13
-1,19
-1,20
-1,16
-1,18
-1,17
-1,12
-1,21
-1,22
-1,23
-1,24
-1,25
-1,26
-1,30
275852,28
331255,29
-1,35
-1,31
-1,34
-1,32
-1,36
-1,27
-1,37
-1,38
-1,39
-1,33
-1,40
-1,41
-1,42
339507,43
364325,44
