attach,XWTTHFXMMFHDTLNUW9UPKSJGGUMPHLFTOEKOVECQWXVTFEXEQGXYJXJKNNAVGUMHHPXWJJOMRQAMXWFLV https://iota.chain.garden:443 score: 0.03369453309551813
7901,0
11088,1
48494,2
30019,3
68018,4
162145,5
229615,6
-1,9
-1,10
-1,8
-1,7
-1,13
-1,14
-1,15
-1,11
-1,18
-1,19
458920,12
-1,17
-1,16
-1,22
-1,23
-1,24
-1,20
-1,21
-1,25
-1,26
-1,27
-1,28
-1,29
-1,30
287593,32
353118,33
-1,31
-1,35
-1,34
-1,38
-1,37
-1,39
-1,40
-1,36
-1,41
314041,42
332586,43
368258,44
