attach,JSBISJGCNRWKFSBVVKLEOPHAUMAQQLVHP9OJWGPFY9PQGCTIHBFRMZYIRVG9DVWIRMQHLMFFHEHLNBNCF https://mama.iota.family:14267 score: 0.029969522425208603
271014,0
-1,2
-1,3
291348,1
-1,7
-1,8
-1,4
339826,5
-1,11
-1,12
-1,6
-1,9
248974,10
-1,16
-1,14
-1,19
-1,20
-1,21
-1,17
-1,18
-1,22
-1,13
-1,23
-1,15
-1,24
-1,25
-1,26
-1,27
-1,28
-1,31
242489,29
345103,30
-1,36
-1,32
-1,35
-1,33
-1,37
-1,38
-1,39
-1,40
-1,41
-1,34
-1,42
300713,43
325676,44
