attach,http://174.141.204.79:14265 score: 3.1207189819759127 scoreNorm: 0.02686262930702692
11952,0
47901,1
60162,2
119686,3
87455,4
9644,5
110819,6
14644,7
78585,8
33546,9
14650,10
18975,11
10073,12
30592,13
58685,14
22402,15
50678,16
49625,17
14428,18
40697,19
69267,20
83188,21
53525,22
41255,23
41166,24
59466,25
133010,27
256036,26
178108,28
178412,29
184370,30
142536,31
137374,32
99005,33
103196,35
191182,34
74442,36
136871,37
113327,38
119502,39
157865,40
173773,41
212977,42
264368,43
326847,44
