attach,https://nodes.tangled.it:443 score: 10.895133957500086 scoreNorm: 0.09378349875175816
13966,0
12761,1
14523,2
34722,3
18303,4
-1,5
48331,6
5088,7
10282,8
2068,9
33168,10
8835,11
6840,12
11546,13
39862,14
33026,15
4568,16
2683,17
4110,18
6029,19
8584,20
2866,21
17334,22
10538,23
6053,24
23600,25
4312,26
5953,27
563,28
7052,29
2903,30
7405,31
42454,32
15796,33
20395,34
-1,35
39309,36
4662,37
5530,38
74587,39
44499,40
10157,41
22494,42
47695,43
81357,44
