attach,https://contabo02.pinter-net.at:14267 score: 22.32429851219058 scoreNorm: 0.1921638439526167
38435,0
20529,1
44311,2
15320,3
8605,4
8248,5
17720,6
3577,7
32521,8
42570,9
16934,10
10557,11
24675,12
2595,13
25644,14
29965,15
16447,16
11904,17
26006,18
60582,19
11849,20
15391,21
19751,22
20074,23
14012,24
56487,25
52339,26
59997,27
42118,28
8477,29
62018,30
39561,31
12872,32
31545,33
20026,34
6780,35
35793,36
12557,37
19990,38
9688,39
64093,40
24178,41
18829,42
14989,43
