attach,https://ultranode.iotatoken.nl:443 score: 67.82821795654297 scoreNorm: 0.6205073980195511
4036,0
2724,1
5216,2
11314,3
1653,4
4932,5
2000,6
4429,7
16985,8
4933,9
4544,10
5408,11
22151,12
8509,13
3208,14
4015,15
29810,16
10021,17
2584,18
2029,19
17318,20
4328,21
14008,22
5358,23
3149,24
6349,25
2221,26
2297,27
5473,28
7894,29
7036,30
19947,31
27724,32
6739,33
11352,34
5095,35
5416,36
8087,37
6161,38
6671,39
6029,40
6273,41
17491,42
7872,43
3703,44
