attach,https://nod3.theshock.de:443 score: 17.839289233088493 scoreNorm: 0.17073930055810688
9102,0
8202,1
14974,2
7479,3
12008,4
5513,5
5137,6
5076,7
11513,8
4797,9
16069,10
7136,11
8911,12
3336,13
1124,14
15707,15
6153,16
22603,17
9539,18
12768,19
8943,20
13495,21
3706,22
6638,23
5702,24
2344,25
27727,26
12770,27
5992,28
5620,29
7206,30
4525,31
10113,32
18273,33
28399,34
8592,35
9848,36
2551,37
13266,38
13126,39
6344,40
30079,41
11680,42
3349,43
10019,44
