attach,https://perma.iota.partners:443 score: 8.941449241638184 scoreNorm: 0.08129211070609024
3917,0
3469,1
3135,2
7139,3
1578,4
13915,5
2957,6
2318,7
3624,8
11709,9
3002,10
6457,11
5412,12
2079,13
3375,14
2836,15
3914,16
2648,17
1846,18
10526,19
4070,20
6852,21
8327,22
9665,23
5625,24
2990,25
3390,26
8264,27
2118,28
9624,29
5110,30
6729,31
2407,32
3644,33
2237,34
3281,35
10052,36
2267,37
5414,38
2625,39
4299,40
7205,41
4584,42
6154,43
4688,44
