attach,https://wallet1.iota.town:443 score: 46.0871509552002 scoreNorm: 0.188701306252951
604,13999,0
10455,17969,1
25924,19702,2
526,16767,3
953,2873,4
3341,25947,5
7105,12580,6
39443,29243,7
65850,9187,8
24021,88460,9
10179,100666,10
9319,31589,12
71952,48438,11
4147,14034,13
20586,106388,14
8416,125048,15
88519,21742,16
22769,47714,18
52278,61478,17
564,3354,19
23360,12884,20
3807,92628,21
109453,27851,22
48027,29946,23
52571,36910,24
20497,84303,25
140536,10553,26
11103,97790,27
63507,49197,28
36979,8255,29
4207,12509,30
872,1694,31
712,46035,32
33996,25830,33
1509,24479,34
23163,51694,35
33273,31688,36
71589,1919,37
75525,34878,38
55262,30228,39
70780,15549,40
27322,9724,41
952,9205,42
