attach,http://116.202.20.58:14265 score: 66.51846272786459 scoreNorm: 0.3450593412662722
373,43,0
239,43,1
719,37,2
733,56,3
403,37,4
833,61,5
563,50,6
599,55,7
879,56,8
582,55,9
479,49,10
593,49,11
493,42,12
517,56,13
637,83,14
655,54,15
481,49,16
593,49,17
409,55,18
687,56,19
594,37,20
646,56,21
599,56,22
663,50,23
748,61,24
676,47,25
1503,39,26
3388,60,27
727,56,28
-1,-1,29
534,58,30
583,37,31
530,56,32
448,37,33
614,56,34
576,55,35
535,56,36
551,37,37
540,43,38
522,49,39
402,56,40
869,55,41
648,36,42
509,42,43
862,42,44
