attach,https://dyn.tangle-nodes.com:443 score: 47.329024457931524 scoreNorm: 0.19780000330436281
644,242,0
-1,-1,1
14734,220,2
2609,1098,3
-1,-1,4
618,144,5
-1,-1,6
1386,284,7
-1,-1,8
1323,261,9
-1,-1,10
-1,-1,11
-1,-1,12
-1,-1,13
1644,206,14
1166,262,15
925,216,16
-1,-1,17
-1,-1,18
-1,-1,19
-1,-1,20
-1,-1,21
-1,-1,22
-1,-1,23
2320,5162,24
-1,-1,25
-1,-1,26
487,854,27
-1,-1,28
1096,194,29
925,335,30
505,210,31
-1,-1,32
-1,-1,33
1370,212,34
-1,-1,35
3677,201,36
1483,649,37
1136,1087,38
1320,217,39
839,909,40
1574,278,41
-1,-1,42
1226,215,43
