attach,https://www.iotaqubic.us:443 score: 20.460679070464916 scoreNorm: 0.0824470630860209
1904,712,0
912,711,1
746,716,2
792,720,3
719,709,4
704,902,5
753,715,6
1778,705,7
835,716,8
1096,711,9
1129,708,10
1100,729,11
825,717,12
1156,714,13
883,708,14
1066,713,15
871,703,16
1221,717,17
772,717,18
834,710,19
1030,712,20
1041,710,21
720,718,22
1046,707,23
868,716,24
862,903,25
858,719,26
778,714,27
832,868,28
886,707,29
803,707,30
724,720,31
775,707,32
863,716,33
763,723,34
952,707,35
865,700,36
889,711,37
2405,712,38
795,708,39
1182,715,40
1059,748,41
808,713,42
