attach,ACTSMRCJXPDRRNCGNROKJUTEERATCKQBMKZ9JEBCPROELSPBUPW9OHRICLRBULVEYIOGFZTYOVDIT9IFX https://stirrlink.dyndns.org:14267
1920,0
1281,1
5022,2
2346,3
5037,4
-1,5
2705,6
3319,7
3423,8
1734,9
4637,10
1482,11
2426,12
3826,13
1829,14
2807,15
543,16
6396,17
3410,18
3490,19
1903,20
1986,21
3757,22
3247,23
9104,24
-1,25
1597,26
-1,27
5124,28
1201,29
2759,30
1459,31
3622,32
1931,33
1514,34
4595,35
1529,36
1178,37
5928,38
2796,39
3584,40
1946,41
1991,42
2239,43
-1,44
