attach,9XVHQHSLKUULSCF9OKOHKCROMUZNFDUBMNYDSVWSCNGEXUXBELWHAQOWXXEKEQYKBTAYAPHNVPTQBAIFJ https://node-iota.org:14267
2992,0
-1,1
4822,2
890,3
3803,4
3467,5
5444,6
1965,7
1744,8
-1,9
1126,10
1982,11
1325,12
2521,13
2489,14
4923,15
3779,16
1132,17
2937,18
1959,19
2905,20
-1,21
5236,22
4650,23
1833,24
2409,25
3145,26
1209,27
3447,28
4769,29
1271,30
1286,31
1235,32
3521,33
-1,34
5434,35
8288,36
6966,37
4225,38
3386,39
2654,40
1384,41
3387,42
9689,43
2042,44
