attach,https://hanspetzersnode.org:14267 score: 82.48918006382883 scoreNorm: 0.3637760344897137
810,19931,0
921,17968,1
789,8498,2
1072,20407,3
733,16406,4
891,9552,5
4513,10317,6
574,10642,7
14588,11692,8
382,16637,9
1570,13890,10
1286,12033,11
533,55725,12
29129,1114,13
9463,29040,14
20343,1344,15
467,42254,16
616,27001,17
807,21336,18
-1,-1,19
590,4857,20
570,16796,21
545,7960,22
1044,34043,23
6995,18636,24
11765,20417,25
723,4223,26
507,7431,27
853,17000,28
1330,15074,29
729,5016,30
-1,-1,31
-1,-1,32
635,13368,33
504,10015,34
813,16835,35
749,6305,36
18477,11333,37
801,19199,38
840,7102,39
9152,9392,40
1101,28738,41
396,4087,42
614,14597,43
1057,8280,44
