attach,https://wallet2.iota.town:443 score: 113.11238930225373 scoreNorm: 0.4988239233338388
40486,154254,0
8411,283655,1
2774,373863,2
162136,327129,3
131632,364923,4
63442,145315,8
183034,161470,6
51022,348048,7
176440,174157,9
51874,404230,10
381944,480174,5
340025,192957,11
201986,333398,12
-1,-1,17
-1,-1,18
-1,-1,19
-1,-1,20
-1,-1,16
-1,-1,13
-1,-1,22
-1,-1,23
-1,-1,24
-1,-1,25
-1,-1,26
440291,216020,14
378532,438946,15
-1,-1,27
471676,469671,21
-1,-1,33
-1,-1,34
-1,-1,35
-1,-1,36
-1,-1,32
-1,-1,31
-1,-1,30
-1,-1,39
-1,-1,38
-1,-1,40
550540,336180,28
-1,-1,41
-1,-1,42
-1,-1,43
-1,-1,44
-1,-1,37
446949,460890,29
