attach,https://trinity.iota-tangle.io:14265 score: 126.70017769932747 scoreNorm: 1
4219,0
1638,1
887,2
2652,3
813,4
786,5
826,6
2490,7
2094,8
2117,9
5618,10
1350,11
3747,12
4747,13
1680,14
1039,15
1037,16
3081,17
1354,18
949,19
1909,20
5628,21
3385,22
2471,23
1573,24
2252,25
1425,26
1608,27
1445,28
1255,29
1676,30
2057,31
1319,32
2182,33
1276,34
2517,35
2227,36
2624,37
3557,38
3223,39
1229,40
1521,41
1225,42
2362,43
