attach,https://node01.gubiota.ch:443 score: 38.32658157501119 scoreNorm: 0.15597170755085407
8969,89,0
51606,703,1
13434,8907,2
67790,456,3
-1,-1,4
82676,47130,5
-1,-1,6
44157,39806,7
42532,57513,8
42953,94784,9
-1,-1,10
63134,52968,11
-1,-1,12
99559,53454,13
-1,-1,14
-1,-1,15
-1,-1,16
89692,50111,17
-1,-1,18
-1,-1,19
-1,-1,20
85788,58446,21
-1,-1,22
-1,-1,23
-1,-1,24
-1,-1,26
-1,-1,25
-1,-1,27
-1,-1,28
-1,-1,29
-1,-1,30
-1,-1,32
-1,-1,31
-1,-1,34
-1,-1,33
88088,50146,35
20258,51185,36
20066,62503,37
13459,3922,38
15852,1102,39
-1,-1,40
1140,153,41
12519,95,42
5404,1493,43
1496,41,44
