attach,https://nodes.thetangle.org:443 score: 107.93660353757022 scoreNorm: 0.9758958318545853
43869,0
3757,1
32322,2
33061,3
-1,4
5623,5
4265,6
4545,7
10029,8
2788,9
6086,10
2239,11
818,12
840,13
1015,14
2714,15
1187,16
4674,17
4234,18
3608,19
14978,20
5220,21
4940,22
1542,23
2858,24
1904,25
1618,26
4217,27
2511,28
2021,29
17085,30
16143,31
2939,32
715,33
4130,34
2508,35
-1,36
1383,37
6519,38
872,39
3684,40
1775,41
1294,42
1274,43
3372,44
