attach,https://wallet1.iota.town:443 score: 67.05693655014039 scoreNorm: 0.28480278185212293
1166,55,0
1841,5943,1
713,86,2
718,86,3
12749,62,4
18202,5572,5
2717,8764,6
896,55,7
818,82,8
27875,77,9
7663,45,10
1187,413,11
577,627,12
6149,4869,13
544,48,14
569,75,15
2537,63,16
487,78,17
14289,4929,18
497,19182,19
624,93,20
345,223,21
636,271,22
22711,86,23
1228,73,24
8010,1054,25
11168,460,26
2548,62,27
15824,8117,28
925,944,29
626,75,30
686,75,31
1920,46109,32
1981,37768,33
720,13230,34
5935,10727,35
975,82,36
29482,422,37
1173,76,38
1537,474,39
1056,7091,40
2517,76,41
831,45,42
