attach,http://iotawallet.tobg.com.de:14265 score: 34.064541667699814 scoreNorm: 0.25072967015776704
10971,0
3502,1
12135,2
24735,3
5348,4
32759,5
9926,6
6669,7
18747,8
13460,9
10476,10
30768,11
5420,12
23598,13
15369,14
5306,15
14585,16
2746,17
47159,18
14521,19
15022,20
4516,21
20652,22
19424,23
19143,24
23719,25
6341,26
27647,27
20532,28
3181,29
2324,30
4392,31
5731,32
25961,33
56840,34
15654,35
11247,36
28666,37
37014,38
14982,39
8344,40
3461,41
7656,42
5508,43
20818,44
