attach,https://iotanode.world:14267 score: 65.39663987036762 scoreNorm: 0.2829617960271145
1338,73,0
650,63,1
641,56,2
3686,44,3
2027,71,4
3563,64,5
1546,63,6
938,69,7
1089,60,8
2299,1044,9
860,93,10
2568,851,11
1059,58,12
1547,67,13
1196,57,14
1138,56,15
1188,66,16
969,106,17
2350,115,18
605,67,19
1243,74,20
7886,1077,21
680,57,22
1936,64,23
32954,63,24
799,91,25
14342,68,26
4635,60,27
5310,89,28
1362,55,29
10302,43,30
935,72,31
2576,62,32
1180,74,33
808,67,34
1145,65,35
1546,50,36
13186,65,37
10281,85,38
631,65,39
3801,73,40
15508,65,41
11503,62,42
