attach,http://speedynode.ddns.net:14265 score: 18.353354728658786 scoreNorm: 0.14207975230198863
15411,0
-1,1
-1,2
152975,3
-1,4
-1,5
-1,6
-1,7
-1,8
178406,9
-1,10
-1,11
164884,12
-1,13
-1,14
137904,15
-1,16
94762,17
120051,18
132337,19
21672,22
134649,20
-1,21
-1,23
-1,24
135986,25
141895,26
-1,28
-1,27
-1,29
180863,30
-1,31
-1,33
-1,32
-1,34
-1,35
-1,37
-1,36
115519,38
71789,39
95718,41
174157,40
86365,42
