attach,RPCSRDTYDLBQBUHAI9CZWQTGNMHUXUICRUJSXQRW9XOPROWOX9SOTS9DYFZI9WRWLURYH9DMYWU9GOBDZ https://iotanode.world:14267 score: 0.484042223803442
74597,0
-1,6
-1,7
-1,4
310988,1
349297,2
399592,3
-1,8
-1,5
-1,14
-1,15
-1,12
-1,17
-1,18
-1,10
-1,13
-1,20
-1,21
-1,9
-1,22
709682,11
-1,24
-1,26
775368,16
-1,27
-1,28
-1,19
400236,23
-1,29
-1,25
-1,30
-1,31
-1,32
-1,34
-1,33
-1,35
-1,37
-1,40
-1,39
-1,38
-1,41
-1,42
-1,43
-1,44
697083,36
