attach,JHTQYHESKPUCOSQLVVAKPCUKOEVHLDRVFCVODFZPWU9JPRXGW99TJWGESMKVLMVPBODUTFPAPBFQUTZHU https://pow.iota.community:443 score: 0.3453261461558177
1224,0
2422,1
1989,2
1221,3
4976,4
6675,5
2172,6
1442,7
1366,8
4711,9
2683,10
2299,11
2797,12
2675,13
3019,14
2746,15
1772,16
5203,17
1116,18
4691,19
2657,20
757,21
870,22
7779,23
2887,24
4823,25
1322,26
1595,27
4525,28
3195,29
1448,30
2598,31
3600,32
10670,33
3758,34
1599,35
6622,36
2430,37
1649,38
1753,39
3949,40
-1,41
2200,42
