attach,LOCSUVYEGSQMZXIJZJGEYSPMWKYZEREUTQTYVTNQX9GSHPHVFRLKEFUHXODSVCPLXJ9XHCZMWHQMOLJCI https://node02.gubiota.ch:443 score: 0.30526746288373474
3810,0
2918,1
1908,2
6548,3
2249,4
1990,5
2388,6
2211,7
1456,8
4841,9
2072,10
4557,11
6137,12
3363,13
2684,14
1389,15
1309,16
2633,17
3767,18
6855,19
2256,20
1918,21
1332,22
5550,23
3397,24
3235,25
2590,26
7331,27
11525,28
957,29
1521,30
5273,31
3393,32
2628,33
2607,34
2297,35
1259,36
2036,37
2918,38
2320,39
1005,40
2513,41
1417,42
3933,43
2186,44
