attach,SPPHGWVYHYUAZSNAUHLHBZFDPAYIGRRZBYDMGOLHZJGSSMNDNROYZDEOQIOGGHEHAKLBLRW9DBNQUOIJF https://nodes.thetangle.org:443 score: 0.6899371155079662
2503,0
1755,1
2974,2
3262,3
1223,4
1955,5
2627,6
7678,7
2391,8
2031,9
2275,10
3295,11
2740,12
4783,13
5728,14
2927,15
1814,16
1983,17
3315,18
5142,19
3026,20
6395,21
3228,22
1629,23
2880,24
1187,25
4371,26
2373,27
2359,28
2888,29
1989,30
3508,31
1304,32
2337,33
6504,34
902,35
2280,36
4084,37
2159,38
2210,39
2936,40
988,41
1953,42
2221,43
2635,44
