attach,DNZAFQ9RKNJSZBJABYGBZFOWEYGXJUFEBURDFFLGJGLZYSAJWRAQUBNXMBSSQZGVYCCZJURGDQNFROZEM https://node-iota.org:14267 score: 0.2554102205929735
2187,0
3115,1
2102,2
1560,3
4439,4
4053,5
2693,6
3742,7
4128,8
2281,9
1275,10
1407,11
7075,12
3367,13
3052,14
2967,15
4973,16
6979,17
3603,18
4207,19
7115,20
5234,21
7666,22
5647,23
4702,24
4542,25
1220,26
2485,27
2196,28
2619,29
5944,30
1293,31
11351,32
2766,33
5235,34
3281,35
3215,36
3501,37
3884,38
1636,39
2449,40
1503,41
3151,42
6515,43
2916,44
