attach,https://node02.gubiota.ch:443 score: 41.20744975354972 scoreNorm: 0.2152829583526183
989,58,0
838,50,1
8048,5784,2
899,97,3
22879,114,4
914,50,5
8999,84553,6
75729,909,7
73811,7193,8
639,69,9
552,88,10
48184,13683,12
110192,65079,11
62607,33434,13
-1,-1,14
-1,-1,16
112464,61461,15
33250,62260,17
19708,98612,18
-1,-1,19
-1,-1,21
-1,-1,20
100376,70614,22
-1,-1,24
49861,114168,23
-1,-1,25
82866,75123,26
-1,-1,27
-1,-1,28
58130,95275,29
-1,-1,30
-1,-1,32
114069,54945,31
-1,-1,34
-1,-1,33
-1,-1,35
39018,106935,36
94941,65478,37
-1,-1,38
69584,47944,40
85947,78217,39
5424,364,41
25011,490,42
20022,9428,43
934,72,44
