attach,http://5.189.141.225:14265 score: 99.94570507049562 scoreNorm: 0.8451953555644715
37142,0
25750,1
51255,2
131335,3
219476,4
217810,5
326082,6
361404,7
397097,8
400109,9
425176,10
451418,11
515774,12
488662,13
460830,14
555445,15
518589,16
660468,17
658717,18
688561,19
781774,20
781120,21
764345,22
765594,23
777151,24
760770,25
739986,26
782074,27
824868,28
814128,29
787211,30
852203,31
822458,32
826498,33
842385,34
831168,35
834585,36
851169,37
988889,38
948922,39
991935,40
990432,41
1055427,42
1016236,43
1038634,44
