attach,http://207.180.252.59:14265 score: 64.49162561075119 scoreNorm: 0.28693665061312795
1499,47,0
1557,47,1
958,36,2
582,34,3
582,39,4
608,46,5
388,33,6
866,45,7
1055,32,8
936,33,9
415,38,10
3983,33,11
689,39,12
975,40,13
1097,41,14
1407,33,15
1098,43,16
770,47,17
1508,34,18
741,40,19
24320,39,20
1025,52,21
834,40,22
1357,53,23
742,29,24
1011,45,25
1294,40,26
8056,34,27
690,45,28
1514,35,29
962,50,30
772,36,31
979,52,32
11554,6752,33
1799,52,34
855,27,35
743,53,36
777,49,37
1788,44,38
854,49,39
622,53,40
953,41,41
634,34,42
