attach,https://trinity.iota-tangle.io:14265 score: 111.40848942778327 scoreNorm: 1
2189,0
3932,1
1018,2
1258,3
4119,4
1133,5
1110,6
2193,7
1871,8
2886,9
3658,10
1255,11
3033,12
1587,13
4288,14
2406,15
4439,16
3225,17
927,18
2808,19
4129,20
1370,21
2676,22
1397,23
981,24
3643,25
3323,26
2028,27
4518,28
3057,29
4603,30
891,31
2009,32
1140,33
1249,34
1309,35
1609,36
2705,37
1507,38
1753,39
4257,40
3137,41
3478,42
2598,43
2234,44
