attach,https://nodes.thetangle.org:443 score: 89.05902667442065 scoreNorm: 0.4069178010799934
770,880,0
829,4037,1
384,13901,2
1119,1331,3
632,943,4
572,743,5
565,840,6
679,2555,7
587,25574,8
331,1196,9
673,12895,10
718,563,11
874,978,12
573,13098,13
1412,15724,14
516,337,15
464,1140,16
401,2481,17
776,3563,18
755,4493,19
1349,8787,20
2559,13255,21
1189,20220,22
541,26059,23
1416,31708,24
713,1224,25
811,1058,26
1347,781,27
1355,971,28
1434,3939,29
1564,7584,30
589,10577,31
646,15300,32
849,23205,33
-1,-1,34
1601,19960,35
542,1748,36
12719,4519,37
414,1405,38
597,1085,39
322,3627,40
581,11011,41
1508,19228,42
1211,26768,43
1659,25753,44
