attach,https://www.iotaqubic.us:443 score: 51.20914678132575 scoreNorm: 0.2383588476396613
1487,718,0
863,718,1
989,721,2
943,724,3
931,724,4
1081,718,5
837,724,6
992,711,7
1176,712,8
1721,709,9
743,703,10
796,709,11
1022,695,12
980,707,13
1124,716,14
905,700,15
984,693,16
966,697,17
1181,697,18
804,704,19
724,703,20
1298,708,21
918,692,22
1196,713,23
860,793,24
948,696,25
1142,692,26
1394,687,27
1238,694,28
896,694,29
873,688,30
2764,692,31
990,690,32
689,690,33
1136,685,34
1237,700,35
1482,695,36
1194,686,37
899,689,38
1220,681,39
761,688,40
1669,691,41
754,732,42
841,702,43
1266,685,44
