attach,http://207.180.202.219:14265 score: 45.39199859710968 scoreNorm: 0.2112822641601544
-1,-1,0
54585,15754,2
91032,50044,1
20062,82157,3
22760,60672,5
-1,-1,4
-1,-1,6
-1,-1,7
-1,-1,10
-1,-1,9
-1,-1,8
2298,12363,11
4146,58502,12
12987,18649,13
8269,54061,14
-1,-1,15
-1,-1,16
-1,-1,17
84741,18441,18
-1,-1,19
-1,-1,20
69814,21835,21
1816,56849,22
54343,63478,23
3129,65767,25
-1,-1,24
-1,-1,26
-1,-1,27
-1,-1,28
51596,29747,29
42041,78308,31
-1,-1,30
-1,-1,33
-1,-1,32
-1,-1,35
-1,-1,34
1145,46008,36
-1,-1,38
-1,-1,37
-1,-1,39
-1,-1,40
-1,-1,41
-1,-1,43
-1,-1,42
