attach,https://dyn.tangle-nodes.com:443 score: 81.03067555794348 scoreNorm: 0.3612627142269226
-1,-1,0
1527,247,1
23094,221,2
700,548,3
1199,16157,4
-1,-1,5
932,197,6
-1,-1,8
-1,-1,7
808,20351,9
13182,1049,10
947,576,11
-1,-1,12
1198,284,13
17001,974,14
919,3034,15
-1,-1,16
1331,189,17
1789,825,18
-1,-1,20
-1,-1,19
733,1145,21
-1,-1,22
-1,-1,23
1017,187,24
1105,158,25
-1,-1,26
-1,-1,27
2061,250,28
-1,-1,29
-1,-1,30
-1,-1,31
-1,-1,32
-1,-1,33
3470,24997,34
-1,-1,35
3095,195,36
1213,133,37
-1,-1,38
28570,184,39
-1,-1,40
-1,-1,41
-1,-1,42
