attach,U99TIBMKAKUFKJBFWQJSAOPWHWHMMFVSXGWRSWTMKOCE9DRBQMGDEMZRQADBTCZHHHEMW9NRZGWLXIMQG https://ultranode.iotatoken.nl:443
1389,0
1657,1
3219,2
3387,3
1976,4
935,5
2583,6
2685,7
4025,8
2636,9
1952,10
5025,11
1767,12
2196,13
1588,14
1164,15
1446,16
1387,17
1597,18
4490,19
2133,20
1181,21
3411,22
1827,23
4887,24
1950,25
4095,26
4600,27
5248,28
1338,29
1054,30
2837,31
5530,32
2447,33
1064,34
3880,35
959,36
-1,37
957,38
3587,39
1798,40
2773,41
2192,42
1924,43
2638,44
