attach,http://node01.iotatoken.nl:14265 score: 43.973579537527904 scoreNorm: 0.23072121033843482
872,3083,0
440,4399,1
520,4054,2
309,4342,3
173,9501,4
517,6117,5
5556,9849,6
268,3555,7
14483,1210,8
306,1250,9
539,11267,10
699,10911,11
551,128,12
463,6060,13
504,7259,14
479,2702,15
2059,3592,16
696,2374,17
454,3336,18
506,4696,19
9397,4570,20
548,1503,21
1030,30074,22
362,3728,23
11378,11982,24
2983,1777,25
3671,2101,26
22462,10703,27
3985,3424,28
771,1528,29
400,6033,30
3950,13409,31
893,7300,32
6033,2812,33
368,4507,34
12979,7599,35
7098,22381,36
3280,19336,37
430,7252,38
3750,11804,39
1149,5742,40
462,917,41
10076,17084,42
