attach,https://wallet1.iota.town:443 score: 68.77193655967713 scoreNorm: 0.3608335870593713
48171,58370,0
132740,67399,1
17492,255449,2
18889,324860,3
235025,86966,4
203392,110568,5
83258,244065,6
213318,126816,7
48001,333818,8
283583,80439,9
116698,278947,10
337860,67349,11
251603,196361,12
59864,411207,13
394119,202695,14
362502,235052,15
137570,450474,16
-1,-1,17
478870,208373,18
401392,283189,19
331525,378697,20
-1,-1,22
-1,-1,23
-1,-1,21
-1,-1,27
-1,-1,28
503184,236973,24
472112,288724,25
-1,-1,29
182996,570383,26
516457,213054,30
455692,289202,31
360087,328179,32
-1,-1,35
183070,560731,33
-1,-1,34
573567,112379,36
404296,294632,37
378240,309243,38
-1,-1,41
-1,-1,40
-1,-1,39
519094,143053,42
455884,194912,43
205411,421137,44
