attach,http://iota-fn01.sairai.de:14265 score: 11.142991577300645 scoreNorm: 0.10664923715146261
20046,0
2628,1
6330,2
8178,3
16859,4
22850,5
7250,6
24264,7
30644,8
3587,9
15112,10
13103,11
4007,12
20489,13
5088,14
13086,15
10654,16
34860,17
20064,18
34662,19
5136,20
3765,21
10439,22
16131,23
3058,24
5633,25
10396,26
13908,27
3843,28
5558,29
4331,30
13776,31
8287,32
9556,33
21491,34
14034,35
5099,36
11295,37
31868,38
13602,39
14550,40
29976,41
18705,42
28014,43
