attach,https://nodes.thetangle.org:443 score: 117.5338271374649 scoreNorm: 0.5840768574369057
903,4505,1
737,5554,2
556,2778,3
-1,-1,4
466,5353,5
1395,6288,6
-1,-1,0
545,2207,8
517,6530,9
1285,25993,10
1017,21595,11
785,2185,12
660,679,13
1277,3398,14
-1,-1,7
1627,33520,15
607,45152,16
1255,19699,17
742,11126,18
565,24797,19
938,22712,20
927,27873,21
-1,-1,22
637,1819,23
525,3059,24
740,5277,25
1530,520,26
725,6076,27
521,25358,28
471,12457,29
487,32506,30
1210,26852,31
1861,48820,32
1599,3586,33
416,2094,35
-1,-1,34
519,3448,37
-1,-1,36
2585,6520,38
809,17336,39
625,3522,41
1048,2055,42
852,2569,43
1558,1166,44
-1,-1,40
