attach,https://trinity.iota-tangle.io:14265 score: 55.3684673756361 scoreNorm: 0.48734718628552315
2486,0
2666,1
8938,2
2499,3
1536,4
3283,5
2132,6
1150,7
2478,8
1558,9
897,10
3221,11
1170,12
1679,13
1416,14
3220,15
2255,16
4293,17
3268,18
3822,19
3903,20
3519,21
1544,22
3386,23
1130,24
2118,25
2900,26
3460,27
7208,28
1571,29
1945,30
3150,31
2472,32
2366,33
1257,34
1535,35
983,36
1008,37
789,38
728,39
818,40
6411,41
1483,42
1149,43
3852,44
