attach,https://iota1.chain.garden:443 score: 5.248418466468108 scoreNorm: 0.046196004572951706
12213,0
9811,1
11850,2
17100,3
16783,4
11940,5
4718,6
19384,7
9350,8
2197,9
9062,10
3801,11
6751,12
41843,13
6176,14
8168,15
9944,16
13353,17
9458,18
17753,19
16482,20
28731,21
19860,22
24066,23
16228,24
28035,25
8668,26
13454,27
37176,28
11687,29
9725,30
9692,31
14649,32
22141,33
11779,34
7231,35
17288,36
19624,37
10258,38
18726,39
16726,40
22070,41
13538,42
46992,43
33624,44
