attach,YEIFD9IZTSOXLBCASOAOY9MIMLZMNFZLPZBGTEDCNROYILGLQQZCFCFQUUO9MN9YIYEFKLG9NUAYDCNUP https://iota1.chain.garden:443
20300,0
36693,1
14126,2
110489,3
95378,4
-1,5
-1,6
-1,7
-1,8
4533,9
7429,10
13715,11
6079,12
16559,13
20881,14
54315,15
3474,16
98563,17
66708,19
171581,18
134721,21
209533,20
217450,22
-1,25
241460,23
-1,24
-1,27
-1,28
-1,29
-1,30
378401,26
-1,33
-1,34
217907,32
287120,31
-1,36
-1,38
-1,40
-1,35
-1,39
-1,42
-1,41
342945,37
