attach,https://dyn.tangle-nodes.com:443 score: 87.84527400970458 scoreNorm: 0.7942424899849175
2934,0
8228,1
4366,2
-1,3
-1,4
10365,5
-1,6
-1,7
9495,8
-1,9
21857,10
4695,11
6078,12
24771,13
11812,14
-1,15
-1,16
3173,17
10363,18
-1,19
-1,20
-1,21
-1,22
14269,23
-1,24
10970,25
4391,26
8386,27
11058,28
-1,29
-1,30
-1,31
-1,32
5814,33
-1,34
-1,35
-1,36
-1,37
-1,38
-1,39
-1,40
18008,41
3933,42
12654,43
-1,44
