attach,https://dyn.tangle-nodes.com:443 score: 95.76352565938775 scoreNorm: 0.41030891657511886
-1,-1,0
712,247,1
-1,-1,2
1416,271,3
783,1076,4
1378,661,5
1335,800,6
1133,10612,7
-1,-1,8
-1,-1,9
1132,179,10
-1,-1,11
-1,-1,12
-1,-1,13
1238,199,14
1309,194,15
969,171,16
19123,14521,17
813,193,18
1069,6266,19
984,400,20
512,225,21
25205,212,22
843,196,23
625,31463,24
3166,168,25
1002,1339,26
995,3060,27
-1,-1,28
1373,1158,29
-1,-1,30
-1,-1,31
-1,-1,32
1105,219,33
-1,-1,34
-1,-1,35
-1,-1,36
-1,-1,37
20600,204,38
7282,22032,39
1180,306,40
1369,237,41
2599,881,42
1513,1114,43
-1,-1,44
