attach,https://wallet2.iota.town:443 score: 64.33064613559029 scoreNorm: 0.27686939489431667
168389,31198,0
133053,51439,1
24630,173792,2
163070,25607,3
2252,213901,4
210621,56357,5
97912,167247,6
297189,102617,7
295197,144036,8
348096,256328,9
311863,277892,10
510028,798,12
586990,93420,11
473219,224996,13
402700,263423,14
357496,320275,15
-1,-1,16
-1,-1,17
-1,-1,18
-1,-1,21
-1,-1,22
-1,-1,23
-1,-1,24
-1,-1,25
-1,-1,26
-1,-1,20
-1,-1,19
-1,-1,30
-1,-1,31
-1,-1,32
-1,-1,33
-1,-1,34
-1,-1,29
497494,448604,28
554327,362582,27
586251,53200,35
514341,104687,36
275310,301568,37
202967,387200,38
145093,419804,39
128509,473442,40
150019,267673,41
35994,404030,42
382816,63238,43
199114,391756,44
