attach,https://nodes.thetangle.org:443 score: 116.76755354634832 scoreNorm: 0.502549932819364
628,137,0
344,28187,1
582,176,2
477,93,3
644,708,4
494,133,5
698,119,6
482,92,7
538,307,8
659,116,9
549,86,10
993,119,11
1033,3351,12
439,268,13
675,130,14
506,118,15
365,127,16
308,145,17
-1,-1,18
-1,-1,19
505,95,20
367,38529,21
731,94,22
998,119,23
353,118,24
903,94,25
475,781,26
528,768,27
800,101,28
813,98,29
1185,169,30
517,137,31
448,106,32
333,20271,33
363,541,34
529,107,36
-1,-1,35
507,129,37
417,770,38
304,163,39
851,141,40
1031,124,41
619,122,43
1345,105,44
-1,-1,42
