attach,HCWBU9WNEOKA9XCHWTWWCIXZTTC9BEBVAZHCRAJWKRPVBUCQSCRKZZ99IY9AIGR9VRXABK9GHMBLVZBRZ https://trinity.iota-tangle.io:14265
30772,0
17328,1
22731,2
33978,3
19156,4
6140,5
5337,6
16232,7
-1,8
97231,9
71400,10
115221,11
-1,13
-1,12
-1,14
-1,15
-1,16
-1,17
-1,19
141624,18
133189,20
-1,21
-1,22
129511,23
-1,24
-1,25
147236,26
-1,27
-1,28
-1,29
121172,30
118704,31
115874,32
106103,33
115089,34
-1,35
104876,36
-1,38
-1,37
148190,39
-1,40
-1,41
116219,42
121823,43
-1,44
