attach,VIQLKJUDWN9YAMKDTPHO9UQGZPBZOUIVMUYBNWRIFUKNSPUMZTZYDGGV9IAOTHVPPQGMINCJKFJIDJALY https://pow.iota.community:443
15838,0
9438,1
19466,2
1551,3
-1,4
5209,5
21694,6
7982,7
30960,8
28981,9
17980,10
18752,11
-1,12
4562,13
70535,14
-1,15
96539,16
79581,17
118205,18
132034,19
-1,20
-1,21
-1,23
-1,22
-1,24
-1,26
-1,25
133587,27
-1,28
-1,29
-1,30
141665,31
-1,32
-1,33
-1,34
99500,35
109632,36
167893,37
154012,38
-1,39
-1,41
136594,40
-1,42
-1,43
