attach,BRNPCFNZDLAN9RVCYUJEEDORYZEPJJRJDAUZQFCLFSYCIQYSBWBRPFRMEETJLSCXKBTYQKMTQE9KCRUZH https://wallet1.iota.town:443
10050,0
16562,1
13151,2
34875,3
9750,4
4300,5
18655,6
8879,7
20141,8
-1,9
7062,10
46365,11
70389,12
109054,13
82268,14
158959,15
-1,16
-1,17
158556,18
-1,19
-1,20
134170,21
-1,22
142067,23
-1,24
-1,25
134495,26
-1,27
-1,28
135922,29
-1,30
-1,31
110320,32
-1,33
119883,34
82141,35
123154,36
-1,37
106494,38
-1,39
160452,40
-1,41
-1,42
-1,43
119193,44
