attach,EKKHHBTZMAEMEZWSYVKXS9GJDFPQUXN9PVLZUIZLLBFCMTPUJPCWSTCJWODSNNHDJ9DT9SGKAPHDGCWBY https://nodes.iota.cafe:443
6750,0
9929,1
8325,2
7345,3
6516,4
6178,5
16599,6
17072,7
-1,8
3208,9
48539,10
71012,11
-1,13
99075,12
117794,14
-1,15
-1,16
-1,17
156446,18
-1,19
-1,20
-1,22
-1,21
146245,23
-1,24
-1,25
-1,26
-1,27
-1,28
116065,29
101763,30
110459,31
93868,32
90076,33
116215,34
-1,35
99403,36
129952,37
-1,38
-1,39
-1,40
149514,41
117413,42
103263,43
-1,44
